Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
After You've Gone,Henry Creamer,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebmaj7|Ebm6|Ab7|Bbmaj7|Bbmaj7|Dm7|G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C7|C7|F7|F7|Bb6|Bb6|Fm7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebmaj7|Ebm6|Ab7|Bbmaj7|Bbmaj7|Dm7|G7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Cm7|G7|Cm7|Ebm/maj7,Ab7|Bbmaj7|Am7,D7|Gm7,Gm7/F|E07|Bb6/F|G7|Cm7|F7|Bb6|Bb6|Fm7|Bb7'}}]",Bb,1941
Afternoon In Paris,John Lewis,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cm7,F7|Bbmaj7|Bbm7,Eb7|Abmaj7|Dm7,G7#9'}, 'Endings': [{'Chords': 'Cmaj7|Dm7,G7'}, {'Chords': 'Cmaj7|Cmaj7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7|G7|Cmaj7/E|A7|Dm7|G7|Cmaj7(C#m7),(F#7)|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cm7,F7|Bbmaj7|Bbm7,Eb7|Abmaj7|Dm7,G7#9|Cmaj7|Dm7,G7'}}]",,1946
Again,Lionel Newman,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7,Em7|Am7,D7|Bm7,E7|Am7,D7|Bm7,E7b9|Am7b5,D7b9|B7#5,E7b9|Am7,D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7,Em7|Am7,D7|Bm7,E7|Am7,D7|Bm7,E7b9|Am7b5,D7b9|Gmaj7|Dm7,G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7|F9sus|G6,Gmaj7|Dm7,G7|Cmaj7|F9sus|Bm7,E7b9|Am7,D7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Gmaj7,Em7|Am7,D7|Bm7,E7|Am7,D7|Bm7,E7b9|Am7b5,D7b9#5|Gmaj7|Gmaj7'}}]",G,1941
Agua De Beber,Antonio-Carlos Jobim,Bossa Nova,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm7|E7#9,A7b13|Dm7|E7#9,A7b13|Dm7|Bbmaj7|Dm7|Dm7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'E7b9|A7alt|Dm7|G7|Gm7|C7|Fmaj7|Fmaj7|E7,Eb7|Dm7,Db07|F7/C|E7#9/B|E7b9|A7sus|Dm7|D7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'G7|Gm7|Dm7|D7b9|G7|Gm7|Dm7|A7b13'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Dm7|E7#9,A7b13|Dm7|E7#9,A7b13|Dm7|Bbmaj7|Dm7|Dm7'}}]",Dmin,1960
Ahmid-6,Pat Metheny,Even 8ths,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7|C#m7|Dm7|C#m7|F#m7,B7|Em7,A7|G,F|Em,Dm7|Cmaj7|B7|Bbmaj7#11|Am7b5,D7b9|F#m7b5,B7b9|Em7b5,A7b9|Dm7,Em7|Fm7,Bb7|Eb9sus|Eb9sus|Abmaj9|Abmaj9|Ab7sus|Ab7sus|Dbmaj13|Dbmaj13|Dm7b5,G7b9|Cm7,F7|Fm7,Bb7|Gm7b5,C7#9|Fm7,F#m7|Gm7,Cm7|F#m7,B7|Em7,A7sus|A7sus|A7sus|A7sus'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dm7|C#m7|Dm7|C#m7|F#m7,B7|Em7,A7|Am7|Am7,D7|Gmaj7,Bb7|Ebmaj7,B7|Emaj7,G7|Cmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Fmaj7|Fmaj7|Em7|Em7|Fmaj7|Fmaj7|Em7|Em7'}}]",,1973
Ain't Misbehavin',Fats Waller,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'C6,A7|Dm7,G7|C6,C7/E|F6,Fm6|C6/E,A7|Dm7,G7'}, 'Endings': [{'Chords': 'E7,A7|D7,G7'}, {'Chords': 'C6,Fm6|C6,E7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Am|F7|D7|A7|G6,E7|Am7,D7|G6,A7|D7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C6,A7|Dm7,G7|C6,C7/E|F6,Fm6|C6/E,A7|Dm7,G7|C6,Am7|Dm7,G7'}}]",,1927
Ain't She Sweet,Milton Ager,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Eb6,E07|Fm7,Bb7|Eb6,E07|Fm7,Bb7|Eb6,G7|C7|F7,Bb7'}, 'Endings': [{'Chords': 'Eb6,Bb7'}, {'Chords': 'Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Ab7|Ab7|Eb6|Eb7|Ab7|Ab7|Eb6|Fm7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Eb6,E07|Fm7,B7|Eb6,E07|Fm7,Bb7|Eb6,G7|C7|F7,Bb7|Eb6'}}]",Eb,1927
Airegin,Sonny Rollins,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm|C7b5#9|Fm|F7|Bbm|F7b5#9|Bbm|Bbm'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Dbmaj7|Dm7,G7|Cmaj7|C#m7,F#7|Bmaj7|Cm7,F7|Bbmaj7|Bbmaj7|Bbm7|Eb7|Abmaj7|Gm7b5,C7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm|C7b5#9|Fm|F7|Bbm|F7b5#9|Bbm|Bbm'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Dbmaj7|Dm7,G7|Cm7b5|F7|Bbm7|Eb7|Abmaj7|Gm7b5,C7b9'}}]",Fmin,1954
Airmail Special,Charlie Christian,Medium Up Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'C6,Am7|Dm7,G7|Em7,A7|Dm7,G7|C,C7/E|F,F#07|C/G|C'}}, {'Label': 'B', 'MainSegment': {'Chords': 'C07|C07|C07|C07|C07,B07|Bb07|Ab7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'C6,Am7|Dm7,G7|Em7,A7|Dm7,G7|C,C7|F,F#07|C/G|C'}}]",,1938
Aisha,McCoy Tyner,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Am9|Gm9|Am9|Fm9|Fm7,Bb7|Gm7,C7|Am7,D7b9'}, 'Endings': [{'Chords': 'G7,C7,Fm,E7'}, {'Chords': 'Gm7,C7,Bm7,E7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Amaj7,D7#11|Amaj7,D7#11|Dbmaj7,Gb7#11|Dbmaj7,Gb7#11|Bmaj7,E7#11|Bmaj7,E7#11|Ebmaj7,Gbmaj7|Amaj7,,Bm7,E7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Am9|Gm9|Am9|Fm9|Fm7,Bb7|Gm7,C7|Am7,D7b9|G7,C7,Fm,E7'}}, {'MainSegment': {'Chords': 'Gm7,C7,Fm7,Bb7|Ebm7,Ab7,Gb13,'}}]",Amin,1966
Alexander's Ragtime Band,Irving Berlin,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F6|F6|G7,C7|F6|Bb6|Bb6|Bb6|Bb6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'F6|F6|F6|F6|G7|G7|C7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F6|F6|G7,C7|F6|Bb6|Bb6|Bb6|Bb6'}}, {'Label': 'C', 'MainSegment': {'Chords': 'F6|F7|Bb6|B07|F6|F6|C7|F6'}}]",F,1911
Alfie,Burt Bacharach,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7|F7sus|Bbmaj7|Dm7,G7|Cm7|Dm7,Gm7|Cm7,F7sus|Bb07'}, 'Endings': [{'Chords': 'F7sus|F7,F7#5'}]}, {'Label': 'B', 'MainSegment': {'Chords': ''}, 'Endings': [{'Chords': 'Am7|Bbm/C,C7|Am7|C7sus|Am7|Bbm/C,C7|F7sus|F6,F7'}]}, {'MainSegment': {'Chords': 'Bbmaj7|F7sus|Em7b5,Eb7|Dm7,Gm7|Em7b5,Eb7|Dm7,Gm7|C7#11|Cm7,F7sus|Bb07|F7sus|B07|Cm9|B07|Bbmaj7'}}]",Bb,1965
Alfie's Theme,Sonny Rollins,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Bbm7,Bbm7/Ab|Gm7b5,Gbmaj7|Bbm7/F,Gm7b5|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,E07|Bbm7/F,Gm7b5|Cm7b5,F7,Bbm7,'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7,Ab7|Gb7,F7b9|Bbm7,Ab7|Gb7,F7b9|Bbm7,Ab7|Gb7,F7b9|Bbm7,Ab7|Gb7,F7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm7,Bbm7/Ab|Gm7b5,Gbmaj7|Bbm7/F,Gm7b5|Cm7b5,F7b9|Bbm7,Bbm7/Ab|Gm7b5,E07|Bbm7/F,Gm7b5|Cm7b5,F7,Bbm7,'}}]",Bbmin,1966
Alice In Wonderland,Sammy Fain,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm7|G7|Cmaj7|Fmaj7|Bm7b5|E7b9|Am7|Eb7#11|Dm7|G7|Em7|Am7|Dm7|G7'}, 'Endings': [{'Chords': 'Em7|A7'}, {'Chords': 'Cmaj7|Cmaj7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'D7|G7|Em7|Am7|Dm7|G7|Cmaj7|Fmaj7|F#m7b5|B7b9|Em7|A7|Dm7|A7|Dm7|G7'}}]",,1951
All About Ronnie,Joe Greene,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Eb7#11|Eb7#11|Bb6,F9sus|Bb6|Cm9|F9sus,F7b9|Bb6,F9sus|Bb6,Ebmaj9|Dm7b5|G7b9|Cm7,G7b13|Cm7|Em7b5|A7b9|Cm7|F9sus'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Eb7#11|Eb7#11|Bb6,F9sus|Bb6|Cm9|F9sus,F7b9|Am7b5|D7b13|Ebmaj7|Ab7|Bb6,G7b9|C7b13,F7b13|Bb6,C7#11|F9sus'}}]",Bb,1953
All Alone,Irving Berlin,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'F|F|C7|C7|F|C7#5|F|F'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Em7b5|A7b9|Dm|Dm|A|E7|A|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7|F7|Bb|Bb|G7|G7|C7|C7#5'}}, {'Label': 'D', 'MainSegment': {'Chords': 'F|Cm7,F7|Bbmaj7|Eb7|F/C|C7|F|Gm7,C7'}}]",F,1924
All At Once You Love Her,Rodgers-Hammerstein,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7,Dm7|Gm7|C7|Gm7|C7'}, 'Endings': [{'Chords': 'F07|F6,C7'}, {'Chords': 'A7|Dm7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbmaj7|Bbmaj7|Fmaj7|Dm7|G7sus|G7sus|G7|C7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|Fmaj7,Dm7|Gm7|C7|Gm7|C7|Cm7|F7|Bbmaj7|Gm7,C7|Fmaj7|Bb7|Fmaj7|C7|F6|Gm7,C7'}}]",F,1955
All Blues,Miles Davis,Waltz,3/4,[{'MainSegment': {'Chords': 'G7|G7|G7|G7|G7|G7|G7|G7|C7/G|C7/G|C7/G|C7/G|G7|G7|G7|G7|D7#9|D7#9|Eb7#9|D7#9|G7|G7|G7|G7'}}],G,1959
All By Myself,Irving Berlin,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|D7|D7|G7|G7|Em7,A7|Dm7,G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|F#m7b5,B7|E7|Am7|D7|Dm7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|D7|D7|G7|G7|E7|E7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|F#07|Cmaj7/G|A7|D7|G7|C6,Am7|Dm7,G7'}}]",,1975
All God's Chillun Got Rhythm,Kahn-Kaper,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Dm7|Gm7,C7|Am7,D7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7b5|D7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bm7b5,E7|Am7,D7|Gm7,C7|Fmaj7|A7|Dm7|G7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Dm7|Gm7,C7|Am7,D7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|Am7b5|D7b9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bm7b5,E7|Am7,D7|Gm7,C7|Eb7,D7|Gm7|C7|F6,(D7)|F6(Gm7),(C7)'}}]",F,1937
All My Tomorrows,Jimmy Van-Heusen,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Am7|Am7b5,D7b9|Bm7|Bb07(Bbm7),(Eb7)|Am7|Bm7,E7b9|Am7,D7b9|Bm7,E7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Am7|Cm6,F7|Bm7|Bb07(Bbm7),(Eb7)|Am7|Bm7,E7b9|Am7,D7b9|Dm7,G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7|Cm7,F7|Bm7,E7|F#m7b5,B7b9|Em7|Am7,D7|B7#9,E7b9|Am7,,Bm7,E7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Am7|Cm6,F7|Bm7|Bb07(Bbm7),(Eb7)|Am7|Bm7,E7b9|Am7,D7b9|Bm7,E7b9|Am7|Cm6,D7|G6|Bm7,E7b9'}}]",G,1959
All Of A Sudden My Heart Sings,Herpin-Jamblan-Rome,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'C|C|G7|G7|C|C7|F|Fm|C|F|F|G7|G7|C|C'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Am|Am|Em|Em|F|F|Em|Am|Dm|Fm|C/G|Am|D7|G7|C,Fm|C,G7'}}]",,1941
All Of Me,Gerald Marks,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|E7|E7|A7|A7|Dm7|Dm7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'E7|E7|Am7|Am7|D7|D7|Dm7|G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|E7|E7|A7|A7|Dm7|Dm7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|Fm6(F#07)|Em7(Cmaj7/G)|A7|Dm7|G7|C6,Eb07|Dm7,G7'}}]",,1931
All Of You,Cole Porter,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Abm6|Ebmaj7|Fm7b5|Bb7|Abm6|Ebmaj7|Fm7b5|Bb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Eb6/G|Gb07|Fm7|Bb7|Ebmaj7,D7|Db7,C7|Fm7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Abm6|Ebmaj7|Fm7b5|Bb7|Abm6|Ebmaj7|Gm7|C7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Abmaj7|Am7b5,D7b9|Gm7|C7|Fm7|Bb7|Eb6|Eb6'}}]",Eb,1954
All Or Nothing At All,Arthur Altman,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Am|Am/maj7|Am7|Am6|Am|Am(Gm7),(C7)|Bb7|Bb7|Gm7|Gm7(Em7b5),(A7b9)|Dm7|D#07|Dm7|Db7#11'}, 'Endings': [{'Chords': 'Cmaj7|Bm7b5,E7b9'}, {'Chords': 'Cmaj7|Bbm7,Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|Abmaj7|Abmaj7|Bbm7,Eb7|Abmaj7|Abmaj7|Bbm7|Eb7|Bbm7|Eb7|Bbm7|Gm7b5,C7b9|Fm7,Fm7/Eb|Db7|C7|Bm7b5,E7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'E7|Am7|Fm6|Cmaj7|E7b9'}}]",Amin,1939
All The Things You Are,Jerome Kern,Medium Up Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bbm7|Eb7|Abmaj7|Dbmaj7|Dm7,G7|Cmaj7|Cmaj7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Cm7|Fm7|Bb7|Ebmaj7|Abmaj7|Am7,D7|Gmaj7|Gmaj7'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Am7|D7|Gmaj7|Gmaj7|F#m7b5|B7b9|Emaj7|C7b13'}}, {'MainSegment': {'Chords': 'Fm7|Bbm7|Eb7|Abmaj7|Dbmaj7|Dbm/maj7|Cm7|B07|Bbm7|Eb7|Abmaj7|Gm7b5,C7b9'}}]",Ab,1939
All The Way,Jimmy Van-Heusen,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|G7b9|Cm7|F7|Bb7,Fm7/C|Dbm6,Bb7/D|Eb6|Bbm7,Eb7|Abmaj7|Bb7,Bb7/D|G7b9|Cm7|Abmaj7|Bb7,B07|Cm7|Abm6/B,Bb7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Ebmaj7|G7b9|Cm7|F7|Bb7,Fm7/C|Dbm6,Bb7/D|Eb6|Bbm7,Eb7|Abmaj7|Bb7,Bb7/D|G7b9|Cm7,Abm6/B|Ebmaj7/Bb|Db7#11,C7b9|Am7b5,Bb7/Ab|Gm7b5,C7b9|Fm7,Bb7|Eb6,Bb7'}}]",Eb,1957
All Through The Day,Kern-Hammerstein,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Fmaj7|G7|Gm7|C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Fmaj7,Dm7|G7,C7|F6|F7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Gm7|C7|Gm7|C7|Gm7|G7|Gm7|C7'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Abmaj7|Bbm7,Eb7|Abmaj7|Gm7,C7|Fmaj7,Dm7|Gm7,C7|F6,Bbm6|F6,C7'}}]",F,1946
All Through The Night,Cole Porter,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7,Db7|Cm7,F7b9|Bbmaj7|Bbm7,Eb7b9|Abmaj7|Abmaj7'}, 'Endings': [{'Chords': 'Am7b5|D7b9|Gm7b5|C7b9|F6|D7b9|Gm7|C7b9'}, {'Chords': 'Emaj7|E7|Bbm7b5|Eb7b9|Abmaj7|Abmaj7|Gm7b5|C7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Dm7b5|Gm7b5|C7b9|Ebm7|Ab7|Db6|Db6|Gm7b5|C7b9|Fm7|Fm7/Eb|Dm7b5|G7b9|Gm7b5|C7b9'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7,Db7|Cm7,F7b9|Bbmaj7|Bbmaj7|Bbm7|Eb7|Am7|D7|Gm7|C7b9|F6|D7#9|Gm7|C7b9'}}]",F,1934
All Too Soon,Duke Ellington,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|Dm7,G7|Cmaj7,C7|Fmaj7,Bb7|Em7,A7#9|Dm7,G7'}, 'Endings': [{'Chords': 'Em7,A7|Dm7,G7'}, {'Chords': 'C6,Bb7|C6,G7#5'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'C6/G,G7#5|C7|Gm7,C7#5|Fmaj7|B7,Bb7|A7b9|D7|G7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Am7|Dm7,G7|Cmaj7,C7|Fmaj7,Bb7|Em7,A7#9|Dm7,G7|C6,Am7|Dm7,G7'}}]",,1940
Almost Like Being In Love,Frederick Loewe,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Eb7|Abmaj7(Cm7)|Cm7(Fm7),F7|Bbm7|Eb7'}, 'Endings': [{'Chords': 'Ab6|Ebm7,Ab7'}, {'Chords': 'Ab6|Ab6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Gm7|C7|Fmaj7|Fmaj7|Fm7|Bb7|Gm7(C7)|C7(Ebm7),(Ab7)'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dbmaj7|Eb7|Abmaj7(Cm7)|Cm7(Fm7),F7|Bbm7|B07|Ab6/C|B07|Bbm7|Eb7|Ab6|Ebm7,Ab7'}}]",Ab,1947
Alone Together,Arthur Schwartz,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Dm6|Em7b5,A7b9|Dm6|Em7b5,A7b9|Dm6|Am7b5,D7b9|Gm7|Gm7|Bm7,E7|Gm7,C7|Fmaj7|Em7b5,A7b9'}, 'Endings': [{'Chords': 'Dmaj7|Dmaj7(Em7b5),(A7b9)'}, {'Chords': 'Dmaj7|Dmaj7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7b5|D7b9|Gm6|Gm6|Gm7b5|C7b9|Fmaj7|Em7b5,A7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm6|Em7b5,A7b9|Dm6|Em7b5,A7b9|Dm6,Bm7b5|Bb7,A7b9|Dm6|Em7b5,A7b9'}}]",Dmin,1932
Alone Too Long,Arthur Schwartz,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'G6|G6,G#07|Am7,D7|Am7,D7|Am7|D7'}, 'Endings': [{'Chords': 'G6,Em7|Am7,D7'}, {'Chords': 'G6|F#m7b5,B7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Em,Em/D|Em/C#,Em/C#,C7,B7|Em6|Em6|Em,Em/D|A7|Am7|D7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'G6|G6,G#07|Am7,D7|Am7,D7|Am7|D7|G6,Em7|Am7,D7'}}]",G,na
Along Came Betty,Benny Golson,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbm7|Bm7,E7|Bbm7|Bm7,E7|Amaj7|Ab7|Gmaj7|Gb7|F#m7|Gm7,C7|F#m7|Gm7,C7|Fmaj7|A7b9|Dm7|G7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7|F7|Am7b5,D7b9|Gm7,Gm7/F|Em7b5|A7b9|Fm7|Bb7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Bbm7|Bm7,E7|Bbm7|Bm7,E7|Cm7b5|F7b13|Bbm7b5|Eb7#9|Abmaj7|Bm7,E7'}}]",Ab,1958
Always,Irving Berlin,Waltz,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|F6|Fmaj7|F6|Gm7|C7|Fmaj7|C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|F6|Amaj7|F#m7|Bm7|E7|A7|C7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fmaj7|F6|Fmaj7|F7,E7,Eb7,|D7|D7|Gm7|Gm7'}}, {'Label': 'D', 'MainSegment': {'Chords': 'Gm7|Eb7|Fmaj7|G7|Gm7|C7|F6|C7'}}]",F,1925
Always And Forever,Pat Metheny,Ballad,4/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Am|Dm6|Am|Dm6,Dm11'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Am9,,Dm7,Em7|Fmaj7,,G9,E7/G#|Am9,Abmaj7|Cmaj9/G,F#m7b5|Fmaj7,Eb69|D9,G7sus|Cmaj7|Fm6/G,E/G#'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Am9,,Dm9,Em7|Fm7,Bb7|Ebmaj7,Bb/D|Dbmaj7|Cm7,Ab/C|Fm7,Gm7|Am7b5,D7b5|Gmaj7,Bm7b5,E7,'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Am9,,Dm7,Em7|Fmaj7,,G9,E7/G#|Am9,Abmaj7|Cmaj9/G,F#m7b5|Fmaj7,Eb69|D9,F/G|Cmaj7|Fm6/G|Cmaj7|Fm6/G'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Fm6/G|Cmaj7|Fm6/G,G#0|Am9'}}]",Amin,1976
Am I Blue?,Harry Akst,Medium Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Am7,D7|Gm7|C7|F7,D7|G7,C7'}, 'Endings': [{'Chords': 'F6,D7|Gm7,C7'}, {'Chords': 'F6|F6,E7b9'}]}, {'Label': 'C', 'MainSegment': {'Chords': 'Am7|Am7|Bm7b5|E7b13|Bm7b5|E7b13|Am7,D7|Gm7,C7'}}, {'MainSegment': {'Chords': 'Fmaj7|Am7,D7|Gm7|C7|F7,D7|G7,C7|F6|Gm7,C7'}}]",F,1929
Among My Souvenirs,Horatio Nicholls,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7,C7b9|Fm7,Bb7|Fm7,Bb7|Ebmaj7,Ab7|Gm7,Gb7|Fm7|Bb7'}, 'Endings': [{'Chords': 'Ebmaj7'}, {'Chords': 'Ebmaj7|Eb7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|Fm7,Bb7|Ebmaj7|Cm7|Fm7|Bb7|G7,Cm7|F7,Bb7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7,C7b9|Fm7,Bb7|Fm7,Bb7|Ebmaj7,Ab7|Gm7,Gb7|Fm7|Bb7|Eb6'}}]",Eb,1927
Ana Maria,Wayne Shorter,Even 8ths,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gmaj7|Ebmaj7/G|G7sus|Ebmaj7/G|Dbmaj7/F|Gbmaj7#11|Abm7|Bb/Ab|Gm7|C7sus|D/C|C7sus|Ab/C,Bb/C|Ab/C'}}, {'Label': 'B', 'Repeats': 1, 'MainSegment': {'Chords': 'G7b9sus|Ebmaj7/G'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Gmaj7|G7sus|Eb/F,E7alt|Eb7sus|Dmaj7,F7#5|Bbm7|Abm7|Bb/Ab|Gm7|C7sus|Bbmaj7,Am7|Fm7|Bb7sus|Bb7sus|Db7sus|Db7sus'}}, {'MainSegment': {'Chords': 'Bm7|Bm7|Ebm7|Ebm7|Dmaj7,F7#5|Bbm7|Abm7|Bb/Ab|Gm7|C7sus|Bbmaj7,Am7|Fm7,Em7'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'G7b9sus|Ebmaj7/G'}}]",G,1975
